0,1,2,3,4,5,6
Diced Jalapenos,4,ea,ea,4,,
Cilantro,1,bunch,bunch,1,,
Minced Garlic,1,tbsp,tbsp,1,,
Lime Juice,0.5,cup,cup,0.5,,
Red Wine Vinegar,0.333333333333333,cup,cup,0.333333333333333,,
Red Chili Flakes,0.5,tbsp,tbsp,0.5,,
Cumin,0.5,tbsp,tbsp,0.5,,
Salt,1,tbsp,tbsp,1,,
EVOO,2,tbsp,tbsp,2,,
,,,,,,
,,,,,,
Pork Chop Marinade,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Adobo,1,cup,cup,1,,1. Combine and mix.
Dijon,1,cup,cup,1,,
Minced Garlic,0.25,cup,cup,0.25,,
Salt & Pepper,to taste,,,to taste,,
EVOO,3,cups,cups,3,,
,,,,,,
,,,,,,
Honey Mustard,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Honey,1,cup,cup,1,,1. Combine and mix.
Yellow Mustard,1,cup,cup,1,,
Mayo,0.75,cup,cup,0.75,,
Cayenne,1,tsp,tsp,1,,
Cracked Pepper,0.25,tsp,tsp,0.25,,
,,,,,,
,,,,,,
Rope Pickle,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Water,2.5,QT,QT,2.5,,1. Combine ingredients.
White Vinegar,1,QT,QT,1,,
Salt,0.25,cup,cup,0.25,,
Red Pepper,20,grams,grams,20,,
Crushed Garlic,1000,grams,grams,1000,,
Dill,30,grams,grams,30,,
,,,,,,
,,,,,,
Q.B. Seasoning,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Chili Powder,4,cups,cups,4,,1. Combine ingredients and mix.
Cumin,1,cup,cup,1,,
Cinnamon,0.25,cup,cup,0.25,,
Black Pepper,0.25,cup,cup,0.25,,
Cloves,0.25,cup,cup,0.25,,
,,,,,,
,,,,,,
Chicken Confit,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Garlic Cloves,8,ea,ea,8,,1. French chicken legs.
Rosemary,2,sprigs,sprigs,2,,2. Line shallow hotel pan with chicken legs.
Thyme,2,sprigs,sprigs,2,,3. Season both sides w/ green salt.
EVOO,as needed,,,as needed,,4. Fill pan with olive oil until submerged.
,,,,,,"5. Cover with foil, bake @225°F for 3 hours."
,,,,,,6. Remove and refrigerate immediately.
,,,,,,
,,,,,,
QB Recipe (Birria),,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Beef Cheeks,1,case,case,1,,1. Dissolve achiote in chicken stock.
Birria Seasoning,150,grams,grams,150,,2. Trim beef of excessive fat.
Guajillo Peppers,80,grams,grams,80,,3. Season beef with birria seasoning.
White Onion,4,ea,ea,4,,4. Sear on all sides.
Garlic,200,grams,grams,200,,"5. Split into 2 deep hotel pans, cook 8-12 hrs at 225°F."
Water,12,cups,cups,12,,6. Remove beef. Blend and strain through chinois.
Chicken Base,1,16oz container,16oz container,1,,7. Add water to consommé if needed.
Achiote,200,grams,grams,200,,
,,,,,,
,,,,,,
Pickles,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Water,2.5,quart,quart,2.5,,1. Combine ingredients.
Vinegar,1,quart,quart,1,,
Salt,0.25,cup,cup,0.25,,
Sugar,1,cup,cup,1,,
Red Pepper,20,grams,grams,20,,
Crushed Garlic,100,grams,grams,100,,
Dill,30,grams,grams,30,,
,,,,,,
,,,,,,
French Toast Batter,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Scrambled Eggs,1000,grams,grams,1000,,1. Combine and whisk.
Milk,1000,grams,grams,1000,,
Cinnamon,0.5,tsp,tsp,0.5,,
Vanilla,1,tsp,tsp,1,,
Sugar,1,tbsp,tbsp,1,,
Nutmeg,0.25,tsp,tsp,0.25,,
,,,,,,
,,,,,,
Coleslaw,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayonnaise,6,cups,cups,6,,"1. Whisk mayo, relish, buttermilk, horseradish, mustard, vinegar, sugar."
Drained Pickle Relish,2.25,cups,cups,2.25,,2. Season with salt and pepper.
Buttermilk,0.75,cup,cup,0.75,,"3. Combine cabbage, scallion greens, scallion whites."
Prepared Horseradish,0.25,cup,cup,0.25,,"4. Pour dressing over slaw, toss well."
Spicy Brown Mustard,0.25,cup,cup,0.25,,5. Adjust seasoning. Store refrigerated.
Apple Cider Vinegar,0.75,cup,cup,0.75,,
Sugar,3,tbsp,tbsp,3,,
Kosher Salt & Pepper,to taste,,,to taste,,
Green Cabbage (shredded),10,quarts,quarts,10,,
Scallion Greens (chopped),3,cups,cups,3,,
Scallion Whites (chopped),3,cups,cups,3,,
Yield:,12 Quarts,,,,,
,,,,,,
,,,,,,
Herbal Butter,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Butter (softened),3,lbs,lbs,3,,1. Pick herbs and chop.
